postal,state,coal,liquid petroleum,petroleum coke,natural gas,other gas,nuclear,hydro,other,wind,biomass,geothermal,solar,total,pctcoal,pctpetroleum,pctpetroleum coke,pctnatural_gas,pctother_gas,pctnuclear,pcthydro,pctother,pctwind,pctbiomass,pctgeothermal,pctsolar,pct_other,computedtotal,pcttotal,rankpctcoal,rankpctliquid petroleum,rankpctpetroleum coke,rankpctnatural gas,rankpctother gas,rankpctnuclear,rankpcthydro,rankpctother,rankpctwind,rankpctbiomass,rankpctgeothermal,rankpctsolar,maxnum,topfuel,coalrank,liquid petroleumrank,petroleum cokerank,natural gasrank,other gasrank,nuclearrank,hydrorank,otherrank,windrank,biomassrank,geothermalrank,solarrank
CT,Connecticut,586,404,0,"6,468",0,"7,503",156,231,0,319,0,10,"15,677",0.037,0.026,0.000,0.413,0.000,0.479,0.010,0.015,0.000,0.020,0.000,0.001,0.035,1.00,100%,50,10,18,14,28,4,47,5,48,24,10,26,48%,nuclear,3,4,9,2,9,1,7,6,9,5,9,8
ME,Maine,59,492,0,"1,221",0,0,"1,456",155,579,"1,392",0,0,"5,354",0.011,0.092,0.000,0.228,0.000,0.000,0.272,0.029,0.108,0.260,0.000,0.000,0.289,1.00,100%,54,4,18,29,28,40,8,2,11,1,10,37,27%,hydro,7,5,8,3,8,8,1,6,4,2,8,8
MA,Massachusetts,"1,528",748,0,"6,390",0,"1,598",408,351,105,465,0,281,"11,874",0.129,0.063,0.000,0.538,0.000,0.135,0.034,0.030,0.009,0.039,0.000,0.024,0.069,1.00,100%,41,5,18,8,28,28,29,1,42,7,10,6,54%,natural gas,3,4,10,1,10,2,6,7,9,5,10,8
NH,New Hampshire,836,168,0,"2,345",0,"4,519",600,25,213,669,0,0,"9,375",0.089,0.018,0.000,0.250,0.000,0.482,0.064,0.003,0.023,0.071,0.000,0.000,0.074,1.00,100%,47,12,18,27,28,3,21,22,33,3,10,37,48%,nuclear,3,7,9,2,9,1,5,8,6,4,9,9
RI,Rhode Island,0,101,0,"2,069",0,0,,0,,93,0,7,"2,270",0.000,0.044,0.000,0.911,0.000,0.000,0.000,0.000,0.000,0.041,0.000,0.003,0.041,1.00,100%,59,6,18,1,28,40,56,45,48,6,10,17,91%,natural gas,5,2,5,1,5,5,5,5,5,3,5,4
VT,Vermont,0,,0,1,0,0,493,0,159,189,0,28,870,0.000,0.000,0.000,0.001,0.000,0.000,0.567,0.000,0.183,0.217,0.000,0.032,0.217,1.00,100%,59,55,18,58,28,40,4,45,7,2,10,5,57%,hydro,6,6,6,5,6,6,1,6,3,2,6,4
NJ,New Jersey,"1,032",276,,"13,204",68,"13,562",,196,6,384,0,353,"29,081",0.035,0.009,0.000,0.454,0.002,0.466,0.000,0.007,0.000,0.013,0.000,0.012,0.022,1.00,100%,51,15,18,12,13,5,56,11,46,32,10,10,47%,nuclear,3,6,10,2,8,1,10,7,9,4,10,5
NY,New York,"1,321","1,639",0,"20,945",0,"17,933","10,350",380,"1,966",940,0,39,"55,513",0.024,0.030,0.000,0.377,0.000,0.323,0.186,0.007,0.035,0.017,0.000,0.001,0.024,1.00,100%,52,9,18,16,28,12,10,10,29,26,10,25,38%,natural gas,6,5,10,1,10,2,3,8,4,7,10,9
PA,Pennsylvania,"31,443",428,67,"21,228",184,"32,587","1,258",339,"1,677",988,0,37,"90,236",0.348,0.005,0.001,0.235,0.002,0.361,0.014,0.004,0.019,0.011,0.000,0.000,0.017,1.00,100%,27,18,15,28,14,8,42,19,36,34,10,31,36%,nuclear,2,7,10,3,9,1,5,8,4,6,12,11
IL,Illinois,"31,281",22,0,"3,721",110,"39,316",48,107,"4,892",251,0,26,"79,774",0.392,0.000,0.000,0.047,0.001,0.493,0.001,0.001,0.061,0.003,0.000,0.000,0.006,1.00,100%,24,54,18,49,16,2,55,27,21,45,10,32,49%,nuclear,2,10,11,4,6,1,8,7,3,5,11,9
IN,Indiana,"33,081",77,282,"7,275",820,0,120,171,"2,039",151,0,89,"44,105",0.750,0.002,0.006,0.165,0.019,0.000,0.003,0.004,0.046,0.003,0.000,0.002,0.032,1.00,100%,6,27,7,38,3,40,52,18,27,44,10,20,75%,coal,1,10,5,2,4,11,8,6,3,7,11,9
